URL, DATE Scraped, Type, Product Category, Product Name , Current Price , Old Price, Position, Product Number, Product Color, Product Description, Number of Reviews, Star Rating, Free Shipping Indicator, Number of Photos 
https://www.didi.nl/blouse-met-all-over-print-petrol-ds1820272041uf,7-11-2018,Product Page, Blouses & tunieken ,Blouse met all-over print Petrol,                     € 24.99                ,                     € 49.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/blouse-met-all-over-print-donker-blauw-ds1820272041uc,7-11-2018,Product Page, Blouses & tunieken ,Blouse met all-over print Donker blauw,                     € 24.99                ,                     € 49.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/blouse-met-all-over-print-turkoois-ds1820272041ue,7-11-2018,Product Page, Blouses & tunieken ,Blouse met all-over print Turkoois,                     € 24.99                ,                     € 49.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/blouse-met-all-over-print-donker-groen-ds182027204pa,7-11-2018,Product Page, Blouses & tunieken ,Blouse met all-over print Donker Groen,                     € 24.99                ,                     € 49.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/blouse-met-all-over-print-grijs-ds1820272041ud,7-11-2018,Product Page, Blouses & tunieken ,Blouse met all-over print Grijs,                     € 24.99                ,                     € 49.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/luchtige-jurk-met-v-hals-blauw-ds1880272031un,7-11-2018,Product Page, Look 48 ,Luchtige jurk met V-hals Blauw,                     € 41.99                ,                     € 69.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/jurk-met-prachtig-dessin-donker-blauw-ds1510262021mg,7-11-2018,Product Page, Home ,Jurk met prachtig dessin Donker blauw,                     € 35.00                ,                     € 79.95                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/jurk-met-bloemenprint-donker-groen-ds182026301pa,7-11-2018,Product Page, Jurken & rokken ,Jurk met bloemenprint Donker Groen,                     € 13.99                ,                     € 34.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/jurkje-met-ruches-donker-groen-ds182025303pa,7-11-2018,Product Page, Look 97 ,Jurkje met ruches Donker Groen,                     € 15.99                ,                     € 39.99                ,1,NA,NA,NA,NA,NA,NA,1
https://www.didi.nl/rokje-met-botanische-print-ecru-ds1820213021t3,7-11-2018,Product Page, Jurken & rokken ,Rokje met botanische print Ecru,                     € 9.99                ,                     € 24.99                ,1,NA,NA,NA,NA,NA,NA,1
