URL, DATE Scraped, Type, Product Category, Product Name , Current Price , Old Price, Position, Product Number, Product Color, Product Description, Number of Reviews, Star Rating, Free Shipping Indicator, Number of Photos
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Trainingsbroek,44.99,NA,1,05349/40X , antraciet ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Joggingbroek,39.99,NA,2,94702/40X , zwart/grijs gemêleerd ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Joggingbermuda,34.99,NA,3,53579/50X , petrol gemêleerd/zwart ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,joggingbroeken per 2 stuks Set van 2,39.99,NA,4,97992/00X , marine & grijs ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Joggingbroeken,39.99,NA,5,78954/10X , grijs & zwart ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Sportbermuda,29.99,NA,6,37609/10X , grijs gemêleerd ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Lange bermuda,29.99,NA,7,72790/50X , grijs/lichtgrijs ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Outdoorbroek,49.99,NA,8,38330/30X , grijs ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Joggingbermuda,29.99,NA,9,51960/90X , marine/grijs gemêleerd/royal blue ,NA,NA,NA,NA,1
https://www.happy-size.nl/sportbroek-heren/?vcp=8a693df8c4babc&s2m_channel=70&emsrc=kw&refID=google/Happysize_NL_nl_GAW/b-nb-heren/sport-broeken/sportbroek%20grote%20maten/&utm_source=google&utm_medium=nonbrand&utm_campaign=nonbrand&gclid=EAIaIQobChMIw6CX_LTY2QIVjrvtCh21jw52EAAYAyAAEgLnJvD_BwE,7-2-2018,List Page,Broeken,Trainingsbroek,29.99,NA,10,55700/90X , marine/royal blue ,NA,NA,NA,NA,1
