URL, DATE Scraped, Type, Product Category, Product Name , Current Price , Old Price, Position, Product Number, Product Color, Product Description, Number of Reviews, Star Rating, Free Shipping Indicator, Number of Photos 
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,Liona Classic Crewneck Heather Grey,14.99,50.00,1,2016200.02,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,Liona Pro HZ 1 Trainingstrui Antracite,14.99,50.00,2,2016105.01,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,Liona Snapback Black,9.99,25.00,3,2016203.01,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,Liona Soccer FC Twente Thuisbroekje Vrouwen 2016-2017,4.99,30.00,4,LIOFCT-16SHO,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,adidas Rusland Thuiskousen 2017-2018,4.99,15.00,5,BR6597,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,UMBRO Medusae Premier HG Black Black White,29.99,100.00,6,81095U-090,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,Zamst Filmista Enkelbrace Links,29.99,45.00,7,470211,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,Nike Ball Pump Black,9.99,13.00,8,N.SA.13.001,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,Nike Ball Pump Volt Black,9.99,13.00,9,N.SA.13.710.NS,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=150857_text_,7-16-2018,List Page,Outlet,adidas Ref 16 Voetbalkousen Black,5.50,8.00,10,AX6872,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,Under Armour Cruz Azul Thuisshirt 2017-2018,39.99,75.00,1,1297816-400,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,Under Armour Cruz Azul Uitshirt 2017-2018,37.50,75.00,2,1297817-104,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,Errea IJsland Thuisshirt 2018-2019,59.99,80.00,3,SMKI6C04410IN,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,Errea IJsland Uitshirt 2018-2019,59.99,80.00,4,SMKI6C05130IN,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,PUMA Kameroen Thuisshirt 2018-2020,59.99,90.00,5,752342-01,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,PUMA Tsjechie Thuisshirt 2018-2020,49.99,90.00,6,752541-01,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,PUMA Oostenrijk Uitshirt 2018-2020,49.99,90.00,7,752513-02,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,adidas TechFit Power Ondershirt Black,39.99,70.00,8,AJ4889,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,adidas TechFit Power Ondershirt Lange Mouwen Black,39.99,80.00,9,AJ5712,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/outlet/voetbalkleding/voetbalshirts.html,7-16-2018,List Page,Voetbalshirts,Nike Brazilie Thuisshirt 2018-2020 Kids,49.99,70.00,10,893970-749,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Thuisshirt 2018-2019,89.99,NA,1,CF5473,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Thuisshirt 2018-2019 Kids,69.99,NA,2,CF5472,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/fanshop/ajax.html?utm_source=tradetracker&utm_medium=nl&utm_campaign=233729_linkgenerator_,7-16-2018,List Page,Ajax,adidas Ajax Minikit Thuis 2018-2019,64.99,NA,3,CF5471,NA,NA,NA,NA,NA,1
