URL, DATE Scraped, Type, Product Category, Product Name , Current Price , Old Price, Position, Product Number, Product Color, Product Description, Number of Reviews, Star Rating, Free Shipping Indicator, Number of Photos 
http://www.voetbalshop.nl/muismat-ajax-oud-logo.html,7-16-2018,Product Page,NA,Muismat Ajax Oud Logo,4.99,NA,1,105009.2101,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/puma-borussia-dortmund-1-4-trainingstrui-2017-2018-puma-black-cyber-yellow.html,7-16-2018,Product Page,NA,PUMA Borussia Dortmund 1/4 Trainingstrui 2017-2018 Puma Black Cyber Yellow,29.95,60.00,1,751777-02,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nike-manchester-city-dry-squad-trainingsshirt-gx-2017-2018-field-blue.html,7-16-2018,Product Page,NA,Nike Manchester City Dry Squad Trainingsshirt GX 2017-2018 Field Blue,29.99,55.00,1,928056-488,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/shirt-roda-jc-thuis-11-12.html,7-16-2018,Product Page,NA,Shirt Roda JC thuis 11/12,20.99,70.00,1,02020387.05H,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-olympique-lyon-thuisshirt-2017-2018.html,7-16-2018,Product Page,NA,adidas Olympique Lyon Thuisshirt 2017-2018,49.99,90.00,1,B31050,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/kappa-napoli-trainingspak-2017-2018-azure-blue-marine.html,7-16-2018,Product Page,NA,Kappa Napoli Trainingspak 2017-2018 Azure Blue Marine,49.99,80.00,1,303W3Q0-906,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nike-knvb-dry-academy-18-trainingspak-zwart-antraciet.html,7-16-2018,Product Page,NA,Nike KNVB Dry Academy 18 Trainingspak Zwart Antraciet,79.99,NA,1,KNVB893709-010,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nike-tech-fleece-windrunner-hoodie-grey-heather-black-kids.html?gclid=EAIaIQobChMIiLXqrYnx2QIVCOAbCh2rfwV9EAQYASABEgJ7cvD_BwE,7-16-2018,Product Page,NA,Nike Tech Fleece Windrunner Hoodie Grey Heather Black Kids,49.99,80.00,1,804730-100,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-scheenbeschermers-kids-guard-white-black.html,7-16-2018,Product Page,NA,adidas Scheenbeschermers Kids Guard White Black,11.99,NA,1,AZ9873,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-bayern-munchen-trainingsbroek-2017-2018-kids-collegiate-navy-white.html,7-16-2018,Product Page,NA,adidas Bayern Munchen Trainingsbroek 2017-2018 Kids Collegiate Navy White,24.99,50.00,1,BP8255,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-bayern-munchen-trainingsbroek-2017-2018-collegiate-navy-white.html,7-16-2018,Product Page,NA,adidas Bayern Munchen Trainingsbroek 2017-2018 Collegiate Navy White,24.99,55.00,1,BP8250,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-bayern-munchen-presentatie-trainingspak-2018-white-collegiate-navy.html,7-16-2018,Product Page,NA,adidas Bayern Munchen Presentatie Trainingspak 2018 White Collegiate Navy,99.99,135.00,1,TPAK000299,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-bayern-munchen-presentatie-trainingspak-2018-kids-white-collegiate-navy.html,7-16-2018,Product Page,NA,adidas Bayern Munchen Presentatie Trainingspak 2018 Kids White Collegiate Navy,59.99,120.00,1,TPAK000336,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-player-gloves-black-white.html,7-16-2018,Product Page,NA,adidas Player Gloves Black White,12.50,25.00,1,W44097,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/adidas-fieldplayer-handschoenen-black-white-white.html,7-16-2018,Product Page,NA,adidas Fieldplayer handschoenen Black White White,11.50,23.00,1,33905,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nike-hyperwarm-field-player-handschoenen-black-white.html?utm_source=criteo&utm_medium=lower_funnel&utm_campaign=lower_funnel,7-16-2018,Product Page,NA,Nike Hyperwarm Field Player Handschoenen Black White,11.50,23.00,1,GS0321-013,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/nike-hyperwarm-field-player-handschoenen-black-white.html?utm_source=google&utm_medium=cpc&adpos=1o1&scid=scplp887229314121&sc_intid=887229314121&gclid=Cj0KCQiA_JTUBRD4ARIsAL7_VeXwrhKRBZsCWuul_0LWq0FYU8VPsQoiQHPq-FRZwyR3deFm8qB4ZyQaAvrOEALw_wcB,7-16-2018,Product Page,NA,Nike Hyperwarm Field Player Handschoenen Black White,11.50,23.00,1,GS0321-013,NA,NA,NA,NA,NA,1
http://www.voetbalshop.nl/cr7-underwear-trunk-cotton-stretch-boxershorts-blue-kids.html,7-16-2018,Product Page,NA,CR7 Trunk Cotton Stretch 2-Pack Fashion Line Boys Blue Black Red,12.50,25.00,1,8400-51-476,NA,NA,NA,NA,NA,1
